"","CVS","FDN","MCD","TMUS","QQQ"
"2007-04-20",0.0017187338871385,0.00799667508417512,-0.00861004527695874,0.0419707854374232,0.00553709831507865
"2007-04-23",0.00343148403112714,0.0045928181798407,0.00578986753949828,0.0070052892120942,0.00154182812591075
"2007-04-24",0.0461669706469079,-0.00374064853452405,-0.00349502474290753,0.0156522086956521,0.00505828007349285
"2007-04-25",-0.000817188799160817,0.0254485200437429,0.00330101086649437,-0.0202054958833734,0.0133479209333058
"2007-04-26",0.00490733369683749,0.0134255492270139,0.0123380421069701,-0.0143306358907614,0.00518242269094316
"2007-04-27",-0.00352688541706769,-0.00281011641910878,-0.00568756855575858,0.00709214513857637,0.000429667033934766
"2007-04-30",-0.013340539068881,-0.0124798309178744,-0.0136874767377432,-0.0123239614845768,-0.0130985827786128
"2007-05-01",-0.00689845436542746,-0.00285373001003952,0.0178127592753266,-0.00534757594822022,-0.000870343796134598
"2007-05-02",0.00944706810519214,0.00899431762037284,0.0179080386224673,0.00931901450392503,0.0108885022163983
"2007-05-03",-0.00605562862341713,0.00324149108589955,-0.00219912035185943,0.0174005504261363,0.00366225780535379
"2007-05-04",-0.00470789242016356,0.0153472940226171,0.000200320577038671,0.00523558473360541,0.000858574801459566
"2007-05-07",0.00500834738476197,-0.0131264921689137,-0.00841342181143512,0.00937501768663251,0
"2007-05-08",0.0246400615902564,0.00282144308026777,-0.00363636363636366,0.00791191964072779,0.00214452064884152
"2007-05-09",0.0272899771569834,0.0112540599378641,0.0105433901054339,0.0529010768908218,0.00213999572009427
"2007-05-10",-0.0144660441872698,-0.0139110095389506,0.0032102728731942,-0.0142625767542532,-0.0136665166061706
"2007-05-11",-0.00427008261889306,0.00846436954713292,0.0130000400000001,0.0164419598816179,0.0127733278366167
"2007-05-14",0.00107201819694391,-0.0147881694644285,-0.000394886460221677,0.0326755095438369,-0.00684053028731346
"2007-05-15",0.005890281439908,-0.0154158215010142,0.0126407068409895,0.0717418233082707,-0.00774862263772336
"2007-05-16",0.0146393132818738,0.0127729707457767,0.0136532280085819,0.00438472681627355,0.00976141040179646
"2007-05-17",-0.00157392449039673,0.00162737998372653,0.0055800845568581,0.0593713902885422,-0.00472603662139714
"2007-05-18",0.0105096686676389,0.0268074725098508,0.00133953315497637,0.00494506847753828,0.00820196381601712
"2007-05-21",-0.0171606868736529,0.0174049834887271,-0.00114660802038569,-0.0557682036212027,0.00642258630748427
"2007-05-22",-0.00582002660899539,0.00272169528466937,0.00440022957719521,-0.0240301672255305,0.000850904099166216
"2007-05-23",0.0138370402428398,-0.00426525768649644,-0.0177142857142857,-0.00385633354661341,-0.00467581306431053
"2007-05-24",0.00498695564235985,-0.00934575545171346,-0.0118286019003296,0.0104228254661807,-0.0143071102153701
"2007-05-25",0.0206320443815085,0.00668238967443435,-0.00117733518793839,0.0318301793128475,0.00628251733102259
"2007-05-29",-0.00537366912110193,0.00351425210799494,-0.00569746539499161,-0.0317051427465785,0.00775026893971442
"2007-05-30",0,0.0136185986918833,-0.0075084171604739,0.0566371066384761,0.00811788062128005
"2007-05-31",-0.00848978668612788,0.00537435721206747,0.00637067489548082,-0.0044667644397931,0.0046620259517276
"2007-06-01",0.000259418778946197,-0.0011455135110533,0.00791299718917893,0.0260796410544029,0.000632756802362522
"2007-06-04",-0.00933852164302262,0.00573390672782881,0.00294400386763494,0.00245970210439994,0.0029511594213989
"2007-06-05",-0.0102120976751008,0.00114028890689055,-0.00489236809754867,-0.0387132491996557,0
"2007-06-06",-0.014550238480165,-0.00417615793470005,-0.00412977400707071,-0.0388541990437123,-0.010718830991222
"2007-06-07",0.00859060402684575,-0.0205870758673276,-0.00849131138410963,-0.0401298471544682,-0.0155088166560441
"2007-06-08",0.00771895129092348,0.0190735298141873,0.0238996419816697,0.000614817110815347,0.0123003884333188
"2007-06-11",-0.0108293710821613,-0.00305576776165006,-0.00311223497374047,0.037480846005556,-0.0019185674696226
"2007-06-12",-0.00801065399170486,-0.018773908045977,0.00448780487804878,-0.0192478972572121,-0.00598032891926537
"2007-06-13",0.00672947473865548,0.0105426782294933,0.0137917443667444,0.0202295295963022,0.0109582722183441
"2007-06-14",-0.00374342225971003,0.00772801420896485,0.00114966470875011,-0.0254513310017362,0.00658877803589331
"2007-06-15",0.00993030112347282,0.00345092024539895,-0.00153113875598088,0.081081019115077,0.0084458824230178
"2007-06-18",-0.00770664343059668,0.0011463889950325,0.00440874082456366,0.000561811821424785,0.000209422119322511
"2007-06-19",0.00482056775575779,-0.00419851129013316,0.00152667933104267,-0.0457607396339343,-0.0002093782708813
"2007-06-20",-0.0127931503198296,-0.00728248371023388,-0.0219130716463414,-0.0397176210774806,-0.00942204813325165
"2007-06-21",0.00215977315983351,0.00579146718146717,-0.00506530274438721,0.0300244949452282,0.00908900847412775
"2007-06-22",-0.0153556038619506,-0.00537424204891523,-0.0127276679067946,0.00624637139340778,-0.00942607836505749
"2007-06-25",-0.00656629292931032,-0.00308761096101895,0.0174534120370256,0.0345846269828776,-0.00422924499409494
"2007-06-26",-0.0123932797468115,-0.00696864111498252,0.00877194948873194,-0.00685718571428562,-0.00573370142280749
"2007-06-27",0.0197991907473736,0.0124755945419104,-0.00792270531400963,0.00258918308066081,0.0153780649295172
"2007-06-28",-0.000546923707957392,0.00192533700136055,-0.00954425399298797,-0.0344332009081721,-0.000420719385344381
"2007-06-29",-0.00273592346746709,-0.00269019984627206,-0.00176991157403772,-0.0181278000834563,0.00168345959595961
